#id  @ time(ms)          message
46  924   I am node 46 in the sending list
14  926   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
4  927   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
28  931   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:001c
28  934   Starting 'app-p2p-node'
22  936   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
28  938   new udp socket is registered
14  938   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
4  939   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
28  943   I am node 28 in the sending list
22  945   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
22  948   HRPL: RPL started
14  948   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
4  949   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
14  951   HRPL: RPL started
4  952   HRPL: RPL started
22  956   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
14  959   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
4  960   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
22  967   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0016
14  970   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:000e
22  970   Starting 'app-p2p-node'
4  971   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0004
14  973   Starting 'app-p2p-node'
4  974   Starting 'app-p2p-node'
22  974   new udp socket is registered
14  977   new udp socket is registered
4  978   new udp socket is registered
22  979   I am node 22 in the sending list
14  981   I am in the receiving list
4  982   I am in the receiving list
36  987   Rime started with address 0.0.0.0.0.0.0.36
36  1001   MAC 00:00:00:00:00:00:00:24 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 36.
39  1003   Rime started with address 0.0.0.0.0.0.0.39
36  1009   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
39  1017   MAC 00:00:00:00:00:00:00:27 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 39.
36  1022   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
39  1025   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
43  1030   Rime started with address 0.0.0.0.0.0.0.43
36  1032   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
36  1035   HRPL: RPL started
39  1038   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
36  1043   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
43  1044   MAC 00:00:00:00:00:00:00:2b Contiki-3.x-3343-gbc2e44581 started. Node id is set to 43.
39  1048   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
39  1051   HRPL: RPL started
43  1053   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
36  1053   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0024
18  1054   Rime started with address 0.0.0.0.0.0.0.18
36  1056   Starting 'app-p2p-node'
39  1059   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
36  1061   new udp socket is registered
43  1065   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
36  1065   I am node 36 in the sending list
37  1067   Rime started with address 0.0.0.0.0.0.0.37
18  1068   MAC 00:00:00:00:00:00:00:12 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 18.
39  1069   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0027
39  1072   Starting 'app-p2p-node'
43  1075   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
39  1077   new udp socket is registered
18  1077   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
43  1078   HRPL: RPL started
39  1080   I am in the receiving list
37  1081   MAC 00:00:00:00:00:00:00:25 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 37.
43  1086   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
18  1089   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
37  1090   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
43  1096   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:002b
18  1099   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
43  1100   Starting 'app-p2p-node'
18  1102   HRPL: RPL started
37  1103   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
43  1104   new udp socket is registered
13  1108   Rime started with address 0.0.0.0.0.0.0.13
43  1109   I am node 43 in the sending list
40  1109   Rime started with address 0.0.0.0.0.0.0.40
18  1110   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
37  1112   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
37  1115   HRPL: RPL started
18  1120   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0012
13  1122   MAC 00:00:00:00:00:00:00:0d Contiki-3.x-3343-gbc2e44581 started. Node id is set to 13.
37  1123   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
40  1123   MAC 00:00:00:00:00:00:00:28 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 40.
18  1124   Starting 'app-p2p-node'
18  1128   new udp socket is registered
17  1130   Rime started with address 0.0.0.0.0.0.0.17
13  1131   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
40  1132   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
18  1133   I am node 18 in the sending list
37  1134   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0025
37  1137   Starting 'app-p2p-node'
37  1141   new udp socket is registered
13  1143   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
17  1144   MAC 00:00:00:00:00:00:00:11 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 17.
40  1145   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
37  1146   I am node 37 in the sending list
3  1149   Rime started with address 0.0.0.0.0.0.0.3
17  1153   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
13  1153   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
41  1154   Rime started with address 0.0.0.0.0.0.0.41
