#id  @ time(ms)          message
11  888   Rime started with address 0.0.0.0.0.0.0.11
34  889   I am in the receiving list
21  891   MAC 00:00:00:00:00:00:00:15 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 21.
42  891   I am node 42 in the sending list
38  892   Rime started with address 0.0.0.0.0.0.0.38
7  892   RPL: The Mode of operation is Storng Mode
46  893   Rime started with address 0.0.0.0.0.0.0.46
32  899   MAC 00:00:00:00:00:00:00:20 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 32.
21  900   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
11  902   MAC 00:00:00:00:00:00:00:0b Contiki-3.x-3343-gbc2e44581 started. Node id is set to 11.
7  902   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0007
7  906   Starting 'app-p2p-node'
38  906   MAC 00:00:00:00:00:00:00:26 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 38.
46  907   MAC 00:00:00:00:00:00:00:2e Contiki-3.x-3343-gbc2e44581 started. Node id is set to 46.
32  907   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
7  910   new udp socket is registered
11  911   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
1  911   Rime started with address 0.0.0.0.0.0.0.1
21  912   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
38  914   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
46  916   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
32  920   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
21  922   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
